( AH
p9are SAFETY
p9g SAKE
p9go[5 SACRED
p9h SAIL
p9h SALE
p9hy SALES
p9i SAME
p9jr SAINT
p9v SAVE
p9vdk SAVING
pado SPHERE
pd3hdk SIBLING
pd4u9q[j SITUATION
pdb87r CIGARETTE
pdbj[48 SIGNATURE
pdbj[h SIGNAL
pdbjdadg[jp SIGNIFICANCE
pdbjdadg[jr SIGNIFICANT
pdbjdadg[jrhe SIGNIFICANTLY
pdg SICK
pdgp SIX
pdgps SIXTH
pdgxto SECURE
pdgxto[re SECURITY
pdhe SILLY
pdhg SILK
pdhv8 SILVER
pdi[h7o[re SIMILARITY
pdi[h8 SIMILAR
pdi[h8he SIMILARLY
pdi3[h SYMBOL
pdin[h SIMPLE
pdin[se SYMPATHY
pdinhe SIMPLY
pdinr[i SYMPTOM
pdj SIN
pdj5oli SYNDROME
pdjp SINCE
pdk SING
pdk8 SINGER
pdkb[h SINGLE
pdkg SINK
pdoe[j SYRIAN
pdoe[p SERIOUS
pdoe[phe SERIOUSLY
pdoey SERIES
pdpr[i SYSTEM
pdpr8 SISTER
pdr SIT
pdr[y[j CITIZEN
pdr[y[jqdn CITIZENSHIP
pdre CITY
pdv[h CIVIL
pdv[h[y9q[j CIVILIZATION
pdvdg CIVIC
pe SEA
pe SEE
pe5 SEED
pe5e CD
peg SEEK
pego[r SECRET
pegw[jp SEQUENCE
peh SEAL
pehdk CEILING
pei SEEM
peidkhe SEEMINGLY
pej SCENE
pejx8 SENIOR
pep CEASE
per SEAT
pey SEIZE
pey[j SEASON
pg(h8 SCHOLAR
pg(h8qdn SCHOLARSHIP
pg)j SCAN
pg)j5[h SCANDAL
pg)r8 SCATTER
pg[h SKULL
pg[hn48 SCULPTURE
pg]o SCORE
pg1r SCOUT
pg2 SKY
pg7fth SCHEDULE
pg7o SCARE
pg7o5 SCARED
pg7oe SCARY
pg8r SKIRT
pg9h SCALE
pgdh SKILL
pgdj SKIN
pgdn SKIP
pge SKI
pgei SCHEME
pgln SCOPE
pgo)4 SCRATCH
pgodn48 SCRIPTURE
pgodnr SCRIPT
pgoei SCREAM
pgoej SCREEN
pgoejdk SCREENING
pgou SCREW
pguh SCHOOL
pgw(5 SQUAD
pgw7o SQUARE
pgwey SQUEEZE
ph)i SLAM
ph)n SLAP
ph25 SLIDE
ph2p SLICE
ph2r SLIGHT
ph2rhe SLIGHTLY
ph9v SLAVE
ph9v8e SLAVERY
phdn SLIP
phen SLEEP
phev SLEEVE
phl SLOW
phlhe SLOWLY
phln SLOPE
pi(or SMART
pi]h SMALL
pi2h SMILE
pi7h SMELL
pilg SMOKE
piu6 SMOOTH
pj)n SNAP
pj9g SNAKE
pjeg SNEAK
pjl SNOW
pl SO
pl5[ SODA
pl5e[i SODIUM
plg]h5 SO-CALLED
plh SOLE
plh SOUL
plh8 SOLAR
plhf8 SOLDIER
plhhe SOLELY
plhl SOLO
pln SOAP
plq[h SOCIAL
plq[he SOCIALLY
plve[r SOVIET
pmh SOIL
pn(jp8 SPONSOR
pn(og SPARK
pn(r SPOT
pn)jdq SPANISH
pn[pdadg SPECIFIC
pn[pdadghe SPECIFICALLY
pn]or SPORT
pn1p SPOUSE
pn2 SPY
pn2r SPITE
pn7gr)gx[h8 SPECTACULAR
pn7gro[i SPECTRUM
pn7gx[h9q[j SPECULATION
pn7h SPELL
pn7j5 SPEND
pn7j5dk SPENDING
pn7o SPARE
pn7p[a2 SPECIFY
pn7q[h SPECIAL
pn7q[h[pr SPECIALIST
pn7q[h2y SPECIALIZE
pn9p SPACE
pndh SPILL
pndj SPIN
pndo[r SPIRIT
pndod4[w[h SPIRITUAL
pndr SPIT
pne4 SPEECH
pne5 SPEED
pneg SPEAK
pneg8 SPEAKER
pneqey SPECIES
pnhdr SPLIT
pnlgpi[j SPOKESMAN
pno75 SPREAD
pnodk SPRING
pr(g STOCK
pr(n STOP
pr(o STAR
pr(or START
pr(or8 STARTER
pr(ordk STARTING
pr)4u STATUE
pr)4ur STATUTE
pr)a STAFF
pr)g STACK
pr)in STAMP
pr)j5 STAND
pr)j585 STANDARD
pr)j5dk STANDING
pr)jp STANCE
pr)r[p STATUS
pr[3dh[re STABILITY
pr[5e STUDY
pr[a STUFF
pr[i[g STOMACH
pr[i3[h STUMBLE
pr[jdk STUNNING
pr[rdprdg[h STATISTICAL
pr[rdprdgp STATISTICS
pr]o STORE
pr]o[f STORAGE
pr]oe STORY
pr]oi STORM
pr2h STYLE
pr75e STEADY
pr7i STEM
pr7n STEP
pr7o STAIR
pr7o STARE
pr8 STIR
pr9 STAY
pr93[h STABLE
pr95e[i STADIUM
pr9f STAGE
pr9g STAKE
pr9g STEAK
pr9q[j STATION
pr9r STATE
pr9ri[jr STATEMENT
prda STIFF
prdg STICK
prdh STILL
prdix[h[p STIMULUS
preh STEAL
preh STEEL
prei STEAM
pren STEEP
prlj STONE
pro)r[fe STRATEGY
pro[b[h STRUGGLE
pro[g48 STRUCTURE
pro[g48[h STRUCTURAL
pro[refdg STRATEGIC
pro]k STRONG
pro]khe STRONGLY
pro2g STRIKE
pro2v STRIVE
pro74 STRETCH
pro7kgs STRENGTH
pro7ks[j STRENGTHEN
pro7p STRESS
pro9j STRAIN
pro9jf STRANGE
pro9jf8 STRANGER
pro9r STRAIGHT
prodgr STRICT
prodgrhe STRICTLY
prodk STRING
prodn STRIP
proeg STREAK
proei STREAM
proer STREET
prolg STROKE
pru5[jr STUDENT
pru5el STUDIO
prun[5 STUPID
pu SUE
pu[p25 SUICIDE
puj SOON
pun SOUP
pun8 SUPER
pun8v2y8 SUPERVISOR
pundoe8 SUPERIOR
pur SUIT
pw(hl SWALLOW
pw7o SWEAR
pw7r SWEAT
pwd4 SWITCH
pwdi SWIM
pwdk SWING
pwen SWEEP
pwer SUITE
pwer SWEET
pwerc(or SWEETHEART
q(g SHOCK
q(n SHOP
q(ndk SHOPPING
q(og SHARK
q(on SHARP
q(r SHOT
q)5l SHADOW
q)h SHALL
q)hl SHALLOW
q[r SHUT
q[r[h SHUTTLE
q[v SHOVE
q]o SHORE
q]or SHORT
q]or[f SHORTAGE
q]orhe SHORTLY
q18 SHOWER
q1r SHOUT
q2 SHY
q2j SHINE
q7a CHEF
q7h SHELL
q7ha SHELF
q7hr8 SHELTER
q7o SHARE
q7o[a SHERIFF
q7o5 SHARED
q8r SHIRT
q95 SHADE
q9g SHAKE
q9i SHAME
q9n SHAPE
qdar SHIFT
qdn SHIP
qdo SHEER
qe SHE
qeh5 SHIELD
qen SHEEP
qer SHEET
qer SHIT
ql SHOW
qlh58 SHOULDER
qo[b SHRUG
qodkg SHRINK
qt5 SHOULD
qtb8 SUGAR
qto SURE
qtohe SURELY
qu SHOE
qur SHOOT
qurdk SHOOTING
r(gpdg TOXIC
r(h89r TOLERATE
r(n TOP
r(ndg TOPIC
r(ob[r TARGET
r)3 TAB
r)3h[r TABLET
r)b TAG
r)g[h TACKLE
r)gp TAX
r)gpn98 TAXPAYER
r)grdg TACTIC
r)h[jr TALENT
r)h[jr[5 TALENTED
r)kg TANK
r)n TAP
r)pg TASK
r)ru TATTOO
r[3)gl TOBACCO
r[4 TOUCH
r[451j TOUCHDOWN
r[59 TODAY
r[a TOUGH
r[b768 TOGETHER
r[g TUCK
r[i(ol TOMORROW
r[i9rl TOMATO
r[j[h TUNNEL
r[j2r TONIGHT
r[k TONGUE
r[w]o5 TOWARD
r[w]o5y TOWARDS
r]g TALK
r]gdk TALKING
r]h TALL
r]p TOSS
r1[h TOWEL
r18 TOWER
r1j TOWN
r2 TIE
r25 TIDE
r28 TIRE
r285 TIRED
r2b8 TIGER
r2i TIME
r2idk TIMING
r2je TINY
r2n TYPE
r2r TIGHT
r2r[h TITLE
r7g TECH
r7gj(hdfe TECHNOLOGY
r7gj[h(fdg[h TECHNOLOGICAL
r7gjdg[h TECHNICAL
r7gjdg[he TECHNICALLY
r7gjeg TECHNIQUE
r7gpr TEXT
r7gpr3tg TEXTBOOK
r7h TELL
r7h[alj TELEPHONE
r7h[pgln TELESCOPE
r7h[vdz[j TELEVISION
r7in[h TEMPLE
r7in87oe TEMPORARY
r7ino[48 TEMPERATURE
r7j TEN
r7j5 TEND
r7j5[jpe TENDENCY
r7j58 TENDER
r7jdp TENNIS
r7jq[j TENSION
r7jr TENT
r7o TEAR
r7o[3[h TERRIBLE
r7o[r]oe TERRITORY
r7o8 TERROR
r7o8dpr TERRORIST
r7o8dy[i TERRORISM
r7pr TEST
r7pr[a2 TESTIFY
r7pr[i[jr TESTAMENT
r7pr[ilje TESTIMONY
r7prdk TESTING
r8dadg TERRIFIC
r8ge TURKEY
r8i TERM
r8iy TERMS
r8j TURN
r8r[h TURTLE
r93[h TABLE
r93[hpnuj TABLESPOON
r9g TAKE
r9h TAIL
r9h TALE
r9n TAPE
r9pr TASTE
rdg[r TICKET
rdh TILL
rdn TIP
rdn[g[h TYPICAL
rdn[ghe TYPICALLY
rdpxu TISSUE
re TEA
re4 TEACH
re48 TEACHER
re4dk TEACHING
rei TEAM
rei9r TEAMMATE
rej TEEN
rej9f TEENAGE
rej9f8 TEENAGER
repnuj TEASPOON
reve TV
rl TOE
rlh TOLL
rlj TONE
rlr[h TOTAL
rlr[he TOTALLY
rm TOY
rmh[r TOILET
ro(ndg[h TROPICAL
ro)adg TRAFFIC
ro)f[5e TRAGEDY
ro)fdg TRAGIC
ro)g TRACK
ro)jpa]oi TRANSFORM
ro)jpa8 TRANSFER
ro)jpa8i9q[j TRANSFORMATION
ro)jpidq[j TRANSMISSION
ro)jpn]or TRANSPORT
ro)jpn8r9q[j TRANSPORTATION
ro)jy)gq[j TRANSACTION
ro)jy[r TRANSIT
ro)jydq[j TRANSITION
ro)jyh9q[j TRANSLATION
ro)jyh9r TRANSLATE
ro)n TRAP
ro)q TRASH
ro)v[h TRAVEL
ro)v[h8 TRAVELER
ro[3[h TROUBLE
ro[5dq[j TRADITION
ro[5dq[j[h TRADITIONAL
ro[5dq[j[he TRADITIONALLY
ro[g TRUCK
ro[i7j5[p TREMENDOUS
ro[kg TRUNK
ro[pr TRUST
ro]i[ TRAUMA
ro2 TRY
ro2[h TRIAL
ro23 TRIBE
ro23[h TRIBAL
ro7j5 TREND
ro7z8 TREASURE
ro7z8e TREASURY
ro95 TRADE
ro95dk TRADING
ro9h TRAIL
ro9h8 TRAILER
ro9j TRAIN
ro9j8 TRAINER
ro9jdk TRAINING
ro9p TRACE
ro9r TRAIT
rodb8 TRIGGER
rodg TRICK
rodhx[j TRILLION
rodn TRIP
roe TREE
roer TREAT
roere TREATY
roeri[jr TREATMENT
rou TRUE
rouhe TRULY
roun TROOP
rous TRUTH
rto TOUR
rto[pr TOURIST
rtoj[i[jr TOURNAMENT
ru TO
ru TOO
ru TWO
ru3 TUBE
ruh TOOL
rui8 TUMOR
ruj TUNE
rus TOOTH
ruy5e TUESDAY
rw2p TWICE
rw7hv TWELVE
rw7jre TWENTY
rwdj TWIN
rwdpr TWIST
s)kg THANK
s)kgp THANKS
s)kgpbdvdk THANKSGIVING
s[i THUMB
s]r THOUGHT
s1y[j5 THOUSAND
s2 THIGH
s7ar THEFT
s7o[n[pr THERAPIST
s7o[ne THERAPY
s85 THIRD
s85e THIRTY
s8lhe THOROUGHLY
s8y59 THURSDAY
sdg THICK
sdj THIN
sdk THING
sdkg THINK
sdkg[k THINKING
sdoe THEORY
se(h[fe THEOLOGY
se[r8 THEATER
se87rdg[h THEORETICAL
sea THIEF
sei THEME
so2v THRIVE
so75 THREAD
so7qlh5 THRESHOLD
so7r THREAT
so7r[j THREATEN
soe THREE
sol THROW
solj THRONE
solr THROAT
sou THROUGH
sou1r THROUGHOUT
u OOH
v(h[jrdo VOLUNTEER
v(hxui VOLUME
v)gpej VACCINE
v)h[5 VALID
v)he VALLEY
v)hxu VALUE
v)in2o VAMPIRE
v)j VAN
v)jdq VANISH
v)pr VAST
v[hd5[re VALIDITY
v[hj8[3[h VULNERABLE
v2[ VIA
v2[3[h VIABLE
v2[h[jp VIOLENCE
v2[h[jr VIOLENT
v2[h9q[j VIOLATION
v2[h9r VIOLATE
v2o[p VIRUS
v2p VICE
v2r[h VITAL
v2r[i[j VITAMIN
v7fr[3[h VEGETABLE
v7j48 VENTURE
v7j58 VENDOR
v7jxu VENUE
v7o[a2 VERIFY
v7oe VARY
v7oe VERY
v7oe[3[h VARIABLE
v7oe[p VARIOUS
v7oe9q[j VARIATION
v7p[h VESSEL
v7r8[j VETERAN
v82[re VARIETY
v83[h VERBAL
v84u VIRTUE
v84u[h VIRTUAL
v84u[he VIRTUALLY
v85dgr VERDICT
v8p VERSE
v8p[p VERSUS
v8p[y VS
v8z[j VERSION
v9g9q[j VACATION
vd5el VIDEO
vdgr[i VICTIM
vdgr8e VICTORY
vdhdf VILLAGE
vdy[3[h VISIBLE
vdy[r VISIT
vdy[r8 VISITOR
vdz[j VISION
vdz[w[h VISUAL
vecdg[h VEHICLE
vlg)3x[h7oe VOCABULARY
vlg[h VOCAL
vlr VOTE
vlr8 VOTER
vlrdk VOTING
vmp VOICE
vxu VIEW
vxu8 VIEWER
w(4 WATCH
w(g WALK
w(j58 WANDER
w(jr WANT
w(q WASH
w)b[j WAGON
w[65o] WITHDRAW
w[6dj WITHIN
w[j ONE
w[j58 WONDER
w[j58a[h WONDERFUL
w[jp ONCE
w[r WHAT
w[r7v8 WHATEVER
w]gdk WALKING
w]h WALL
w]o WAR
w]o[jr WARRANT
w]oe8 WARRIOR
w]oi WARM
w]oidk WARMING
w]oj WARN
w]ojdk WARNING
w]r8 WATER
w1 WOW
w1j5 WOUND
w2 WHY
w25 WIDE
w25he WIDELY
w25pno75 WIDESPREAD
w28 WIRE
w2a WIFE
w2h WHILE
w2h5 WILD
w2h5h2a WILDLIFE
w2j WINE
w2j5 WIND
w2n WIPE
w2r WHITE
w2y WISE
w73 WEB
w73p2r WEBSITE
w75dk WEDDING
w768 WEATHER
w768 WHETHER
w7h WELL
w7ha7o WELFARE
w7hg[i WELCOME
w7hs WEALTH
w7hse WEALTHY
w7j WHEN
w7j7v8 WHENEVER
w7jy5e WEDNESDAY
w7n[j WEAPON
w7o WEAR
w7o WHERE
w7o)y WHEREAS
w7o7v8 WHEREVER
w7pr WEST
w7pr8j WESTERN
w7r WET
w85 WORD
w86e WORTHY
w8e WORRY
w8e5 WORRIED
w8g WORK
w8g1r WORKOUT
w8g8 WORKER
w8gdk WORKING
w8gnh9p WORKPLACE
w8gp WORKS
w8gq(n WORKSHOP
w8h5 WORLD
w8h5w25 WORLDWIDE
w8s WORTH
w9 WAY
w9 WEIGH
w9f WAGE
w9g WAKE
w9h WHALE
w9pr WASTE
w9r WAIT
w9r WEIGHT
w9v WAVE
wd4 WHICH
wd4 WITCH
wd6 WITH
wdh WILL
wdh58j[p WILDERNESS
wdhdk WILLING
wdhdkj[p WILLINGNESS
wdj WIN
wdj5l WINDOW
wdj8 WINNER
wdjr8 WINTER
wdk WING
wdn WHIP
wdo5 WEIRD
wdpn8 WHISPER
wdq WISH
wdrj[p WITNESS
wds1r WITHOUT
wdy5[i WISDOM
we WE
we5 WEED
weg WEAK
weg WEEK
weg7j5 WEEKEND
weghe WEEKLY
wegj[p WEAKNESS
weh WHEEL
wer WHEAT
wl WHOA
wt5 WOOD
wt5 WOULD
wt5[j WOODEN
wtha WOLF
wti[j WOMAN
x(o5 YARD
x) YEAH
x[k YOUNG
x]o YOUR
x7h YELL
x7hl YELLOW
x7n YEP
x7p YES
x7pr859 YESTERDAY
x7r YET
x8p7ha YOURSELF
xdo YEAR
xeh5 YIELD
xto[ne[j EUROPEAN
xtoy YOURS
xu YOU
xuj[a]oi UNIFORM
xuj[r UNIT
xuj[re UNITY
xuj2r UNITE
xuj2r[5 UNITED
xujdv8p UNIVERSE
xujdv8p[h UNIVERSAL
xujdv8p[re UNIVERSITY
xujeg UNIQUE
xujx[j UNION
xup USE
xup[f USAGE
xupa[h USEFUL
xuph[p USELESS
xur[h2y UTILIZE
xurdh[re UTILITY
xus YOUTH
xuy5 USED
xuy8 USER
xuz[w[h USUAL
xuz[w[he USUALLY
ydol ZERO
ylj ZONE
z(jo[ GENRE
